decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,RECURSO CÍVEL,COLEGIADO,"Aposentadoria por Idade - Urbana (art. 48/51), Aposentadoria por Idade (Art. 48/51), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal - 2º Juiz Relator (ES),PABLO COELHO CHARLES GOMES,04/08/2025 11:07:27,20/05/2026,5022737-72.2025.4.02.5001,outputs\runs\run-20260618T223723248331Z\data\decisions\trf2-live-1.pdf
TRF2-LIVE-2,RECURSO CÍVEL,COLEGIADO,"Aposentadoria por Tempo de Contribuição (Art. 55/6), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,10/06/2024 15:33:55,20/05/2026,5004809-42.2024.4.02.5002,outputs\runs\run-20260618T223723248331Z\data\decisions\trf2-live-2.pdf
TRF2-LIVE-3,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,23/04/2026,5000554-07.2025.4.02.5002,outputs\runs\run-20260618T223723248331Z\data\decisions\trf2-live-3.pdf
TRF2-LIVE-4,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,20/05/2026,5004819-86.2024.4.02.5002,outputs\runs\run-20260618T223723248331Z\data\decisions\trf2-live-4.pdf
TRF2-LIVE-5,NAO_INFORMADO,COLEGIADO,NAO_INFORMADO,1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,,20/05/2026,5005692-52.2025.4.02.5002,outputs\runs\run-20260618T223723248331Z\data\decisions\trf2-live-5.pdf
