decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,RECURSO CÍVEL,COLEGIADO,"Aposentadoria por Idade - Urbana (art. 48/51), Aposentadoria por Idade (Art. 48/51), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal - 2º Juiz Relator (ES),PABLO COELHO CHARLES GOMES,04/08/2025 11:07:27,20/05/2026,5022737-72.2025.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50227377220254025001
TRF2-LIVE-2,RECURSO CÍVEL,COLEGIADO,"Aposentadoria por Tempo de Contribuição (Art. 55/6), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,10/06/2024 15:33:55,20/05/2026,5004809-42.2024.4.02.5002,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50048094220244025002
TRF2-LIVE-3,RECURSO CÍVEL,COLEGIADO,"Pensão por Morte (Art. 74/9), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,25/10/2024 14:30:33,20/05/2026,5035475-29.2024.4.02.5001,https://eproc.jfes.jus.br/eproc/externo_controlador.php?acao=processo_seleciona_publica&acao_origem=processo_consulta_publica&acao_retorno=processo_consulta_publica&num_processo=50354752920244025001
