decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
1,MANDADO DE SEGURANÇA TR CÍVEL,Julgamento Principal,"Indenização por dano moral, Responsabilidade civil, DIREITO CIVIL",JEF Recurso Cível,ALESSANDRA BELFORT BUENO,10/03/2025,12/03/2025,5021277-41.2025.4.02.5101,outputs\runs\run-20260613T193921027193Z\data\decisions\1.pdf
2,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO, Isenção, Limitações ao Poder de Tributar, DIREITO TRIBUTÁRIO, Incidência sobre Aposentadoria, IRPF/Imposto de Renda de Pessoa Física, Impostos, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,06/03/2025,18/03/2025,5020184-43.2025.4.02.5101,outputs\runs\run-20260613T193921027193Z\data\decisions\2.pdf
3,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"Servidores Inativos, Contribuições Previdenciárias, Contribuições, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,CYNTIA LEITE MARQUES,28/02/2025,25/03/2025,5019643-10.2025.4.02.5101,outputs\runs\run-20260613T193921027193Z\data\decisions\3.pdf
4,RECURSO DE MEDIDA CAUTELAR CÍVEL,Julgamento Principal,"CND/Certidão Negativa de Débito, Crédito Tributário, DIREITO TRIBUTÁRIO",JEF Recurso Tributário,CYNTIA LEITE MARQUES,28/02/2025,11/03/2025,5019552-17.2025.4.02.5101,outputs\runs\run-20260613T193921027193Z\data\decisions\4.pdf
5,RECURSO CÍVEL,Julgamento Principal,"Sistema Remuneratório e Benefícios, Servidor Público Civil, DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO",JEF Recurso Cível,DANIELLA ROCHA SANTOS FERREIRA DE SOUZA MOTTA,26/02/2025,25/03/2025,5018960-70.2025.4.02.5101,outputs\runs\run-20260613T193921027193Z\data\decisions\5.pdf
