decisionId,classe,tipoJulgamento,assuntos,competencia,relatorOriginario,dataAutuacao,dataJulgamento,numeroProcesso,inteiroTeorPath
TRF2-LIVE-1,RECURSO CÍVEL,COLEGIADO,"Aposentadoria por Idade - Urbana (art. 48/51), Aposentadoria por Idade (Art. 48/51), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal - 2º Juiz Relator (ES),PABLO COELHO CHARLES GOMES,04/08/2025 11:07:27,20/05/2026,5022737-72.2025.4.02.5001,outputs\runs\run-20260618T155023045956Z\data\decisions\trf2-live-1.pdf
TRF2-LIVE-2,RECURSO CÍVEL,COLEGIADO,"Aposentadoria por Tempo de Contribuição (Art. 55/6), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal do Espírito Santo,LEONARDO MARQUES LESSA,10/06/2024 15:33:55,20/05/2026,5004809-42.2024.4.02.5002,outputs\runs\run-20260618T155023045956Z\data\decisions\trf2-live-2.pdf
TRF2-LIVE-3,RECURSO CÍVEL,COLEGIADO,"Pensão por Morte (Art. 74/9), Benefícios em Espécie, DIREITO PREVIDENCIÁRIO",1ª Turma Recursal do Espírito Santo,PABLO COELHO CHARLES GOMES,25/10/2024 14:30:33,20/05/2026,5035475-29.2024.4.02.5001,outputs\runs\run-20260618T155023045956Z\data\decisions\trf2-live-3.pdf
